User1,User2,Action
jsvelac,jsvelac,Tweet
jsvelac,lasillarota,Retweet
mitchellvii,mitchellvii,Tweet
KahlerSabrina,KahlerSabrina,Tweet
KahlerSabrina,mitchellvii,Retweet
brianklaas,brianklaas,Tweet
Ramaries,Ramaries,Tweet
Ramaries,brianklaas,Retweet
thehill,thehill,Tweet
1nomdeplume,1nomdeplume,Tweet
1nomdeplume,thehill,Retweet
Ericktricks,Ericktricks,Tweet
Ericktricks,katyperry,Mention
BoydKeonne,BoydKeonne,Tweet
MSNBC,MSNBC,Tweet
josieO,josieO,Tweet
josieO,MSNBC,Retweet
josieO,NBCNews,Mention
Sergio_gomezN,Sergio_gomezN,Tweet
mattyglesias,mattyglesias,Tweet
LessThanLiz,LessThanLiz,Tweet
LessThanLiz,mattyglesias,Retweet
JornalOGlobo,JornalOGlobo,Tweet
srtavenancio,srtavenancio,Tweet
srtavenancio,JornalOGlobo,Retweet
goldengateblond,goldengateblond,Tweet
bledsoedoc,bledsoedoc,Tweet
bledsoedoc,goldengateblond,Retweet
N10Ford8,N10Ford8,Tweet
AlexandreMaras,AlexandreMaras,Tweet
_clarkatherine,_clarkatherine,Tweet
_clarkatherine,AlexandreMaras,Retweet
_clarkatherine,violadavis,Mention
KamVTV,KamVTV,Tweet
KamVTV,Joy_Villa,Reply
CarloAlterego,CarloAlterego,Tweet
CarloAlterego,KamVTV,Retweet
CarloAlterego,Joy_Villa,Mention
ericgarland,ericgarland,Tweet
datagoodies,datagoodies,Tweet
datagoodies,ericgarland,Retweet
BiologistDan,BiologistDan,Tweet
Brassyscience,Brassyscience,Tweet
Brassyscience,BiologistDan,Retweet
Brassyscience,POTUS,Mention
The_Trump_Train,The_Trump_Train,Tweet
RichNChrist57,RichNChrist57,Tweet
RichNChrist57,The_Trump_Train,Retweet
BraddJaffy,BraddJaffy,Tweet
BraddJaffy,BraddJaffy,Reply
DeborahJoshua88,DeborahJoshua88,Tweet
DeborahJoshua88,BraddJaffy,Retweet
RoguePOTUSStaff,RoguePOTUSStaff,Tweet
KrisPryde,KrisPryde,Tweet
KrisPryde,RoguePOTUSStaff,Retweet
KrisPryde,verge,Mention
DJTommyWiz,DJTommyWiz,Tweet
steve_the_kid69,steve_the_kid69,Tweet
steve_the_kid69,DJTommyWiz,Retweet
WashTimesThreat,WashTimesThreat,Tweet
RJGallant09,RJGallant09,Tweet
RJGallant09,WashTimesThreat,Retweet
TrumpSuperPAC,TrumpSuperPAC,Tweet
ChicaMerica2016,ChicaMerica2016,Tweet
ChicaMerica2016,TrumpSuperPAC,Retweet
BraddJaffy,BraddJaffy,Tweet
BraddJaffy,BraddJaffy,Reply
EuphorbiaZ,EuphorbiaZ,Tweet
EuphorbiaZ,BraddJaffy,Retweet
latinaafortrump,latinaafortrump,Tweet
hotrider293,hotrider293,Tweet
hotrider293,latinaafortrump,Retweet
kr3499,kr3499,Tweet
kr3499,washingtonpost,Reply
everywhereist,everywhereist,Tweet
senaaileigh,senaaileigh,Tweet
senaaileigh,everywhereist,Retweet
gabflosi,gabflosi,Tweet
DamienFahey,DamienFahey,Tweet
rugga13,rugga13,Tweet
rugga13,DamienFahey,Retweet
rugga13,Adele,Mention
Andresriveraso4,Andresriveraso4,Tweet
Andresriveraso4,whatdafaqshow,Reply
AveryDaymond,AveryDaymond,Tweet
AveryDaymond,ChrisCuomo,Reply
joesmoo4,joesmoo4,Tweet
joesmoo4,AveryDaymond,Retweet
joesmoo4,ChrisCuomo,Mention
GigiTracyXO,GigiTracyXO,Tweet
lovineyes,lovineyes,Tweet
lovineyes,GigiTracyXO,Retweet
AristeguiOnline,AristeguiOnline,Tweet
Angel_MH69,Angel_MH69,Tweet
Angel_MH69,AristeguiOnline,Retweet
CBCKatie,CBCKatie,Tweet
grg_mc,grg_mc,Tweet
grg_mc,CBCKatie,Retweet
paulmcleary,paulmcleary,Tweet
SamG0ld,SamG0ld,Tweet
SamG0ld,paulmcleary,Retweet
FilamGop,FilamGop,Tweet
fawfulfan,fawfulfan,Tweet
fawfulfan,brianefallon,Reply
GirlFuturist,GirlFuturist,Tweet
GirlFuturist,fawfulfan,Retweet
Evan_McMullin,Evan_McMullin,Tweet
iwrotegudomelet,iwrotegudomelet,Tweet
iwrotegudomelet,Evan_McMullin,Retweet
edwardchavezz,edwardchavezz,Tweet
edwardchavezz,ebs_and_flows,Reply
edwardchavezz,_michaelbrooks,Mention
McJesse,McJesse,Tweet
mp135790,mp135790,Tweet
mp135790,McJesse,Retweet
RoguePOTUSStaff,RoguePOTUSStaff,Tweet
llandy420,llandy420,Tweet
llandy420,RoguePOTUSStaff,Retweet
llandy420,verge,Mention
MOVEFORWARDHUGE,MOVEFORWARDHUGE,Tweet
jfrblazer49,jfrblazer49,Tweet
jfrblazer49,MOVEFORWARDHUGE,Retweet
RealJack,RealJack,Tweet
